Movie Title,Release Year
The Messenger,2010
The Midnight Sky,2021
The Milk of Sorrow,2010
The Missing Picture,2014
The Mitchells vs. the Machines,2022
The Mole Agent,2021
The Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers,2010
The Neighbors' Window,2020
The New Tenants,2010
The One and Only Ivan,2021
The Phone Call,2015
The Pig,2009
The Pirates! Band of Misfits,2013
The Post,2018
The Power of the Dog,2022
The Present,2021
The Princess and the Frog,2010
The Queen of Basketball,2022
The Quiet Girl,2023
The Reader,2009
The Reaper (La Parka),2015
The Red Suitcase,2023
The Red Turtle,2017
The Revenant,2016
The Salesman,2017
The Salt of the Earth,2015
The Sea Beast,2023
The Secret in Their Eyes,2010
The Secret of Kells,2010
The Sessions,2013
The Shape of Water,2018
The Shore,2012
The Silent Child,2018
The Social Network,2011
The Square,2018
The Tale of the Princess Kaguya,2015
The Teachers' Lounge,2024
The Tempest,2011
The Theory of Everything,2015
The Town,2011
The Tragedy of Macbeth,2022
The Tree of Life,2012
The Trial of the Chicago 7,2021
The Tsunami and the Cherry Blossom,2012
The Two Popes,2020
The United States vs. Billie Holiday,2021
The Visitor,2009
The Voorman Problem,2014
The Warriors of Qiugang,2011
The Way Back,2011
The Whale,2023
The White Helmets,2017
The White Ribbon,2010
The White Tiger,2021
The Wife,2019
The Wind Rises,2014
The Windshield Wiper,2022
The Witness - From the Balcony of Room 306,2009
The Wolf of Wall Street,2014
The Wolfman,2011
The Wonderful Story of Henry Sugar,2024
The Worst Person in the World,2022
The Wrestler,2009
The Young Victoria,2010
The Zone of Interest,2024
Theeb,2016
This Way Up,2009
"Three Billboards outside Ebbing, Missouri",2018
Three Songs for Benazir,2022
"tick, tick...BOOM!",2022
Timbuktu,2015
Time,2021
Time Freak,2012
Timecode,2017
Tinker Tailor Soldier Spy,2012
To Kill a Tiger,2024
To Leslie,2023
Toni Erdmann,2017
Top Gun: Maverick,2023
Toy Story 3,2011
Toy Story 4,2020
Traffic Stop,2018
Transformers: Dark of the Moon,2012
Transformers: Revenge of the Fallen,2010
Triangle of Sadness,2023
Tron: Legacy,2011
Tropic Thunder,2009
Trouble the Water,2009
True Grit,2011
Trumbo,2016
Turning Red,2023
"Two Days, One Night",2015
Two Distant Strangers,2021
Tár,2023
Unbroken,2015
Undefeated,2012
Unstoppable,2011
Up,2010
Up in the Air,2010
Vice,2019
Vicky Cristina Barcelona,2009
Victoria & Abdul,2018
Virunga,2015
W.E.,2012
Walk Run Cha-Cha,2020
WALL-E,2009
Waltz with Bashir,2009
Wanted,2009
War for the Planet of the Apes,2018
War Horse,2012
WAR IS OVER! Inspired by the Music of John & Yoko,2024
War Witch,2013
Warrior,2012
Waste Land,2011
Watani: My Homeland,2017
Watu Wote/All of Us,2018
We Can’t Live without Cosmos,2016
Weekends,2019
West Side Story,2022
"What Happened, Miss Simone?",2016
When Marnie Was There,2016
When We Were Bullies,2022
Which Way Home,2010
Whiplash,2015
White Earth,2015
White Eye,2021
Wild,2015
Wild Life,2012
Wild Tales,2015
Winter on Fire: Ukraine’s Fight for Freedom,2016
Winter's Bone,2011
Wish 143,2011
Wolfwalkers,2021
Women Talking,2023
Wonder,2018
World of Tomorrow,2016
Wreck-It Ralph,2013
Writing with Fire,2022
X-Men: Days of Future Past,2015
Yes-People,2021
Zero Dark Thirty,2013
Zootopia,2017
